ID;Job tenure;Age;Car price;Funding amount;Down payment;Loan duration;Monthly payment;Credit event;Married;Homeowner;Default (y);Pred_default (y_hat);PD;Group
6121;19;48;16700;8817;0;48;0,1144;0;1;0;0;0;0,0123;1
6122;3;53;6500;5976;0;60;0,0733;0;0;1;0;0;0,4468;0
6123;4;52;18100;18100;0;96;0,0357;0;1;1;0;0;0,0332;0
6124;5;22;14000;4000;1;36;0,0760;0;0;0;0;0;0,0152;0
6125;28;48;20990;13990;0;36;0,1211;0;1;1;0;0;0,0054;1
6126;0;21;13250;13250;0;60;0,0744;0;0;0;0;1;0,6014;0
6127;2;29;8990;10032;0;48;0,0924;0;0;0;1;0;0,4809;0
6128;2;51;3640;3952;0;24;0,0961;0;1;1;0;0;0,0235;0
6129;5;53;4250;4745;0;48;0,0629;0;0;1;0;0;0,0411;0
6130;3;55;10130;10536;0;72;0,0545;0;1;0;0;0;0,1022;0
6131;4;38;11900;5815;1;48;0,0720;0;1;0;0;0;0,1753;0
6132;6;40;15400;15400;0;60;0,1080;0;1;1;0;0;0,1538;1
6133;3;28;11600;11494;0;60;0,1084;0;0;0;0;0;0,4411;0
6134;7;60;5360;1948;1;36;0,0414;0;1;0;0;0;0,0659;1
6135;2;25;8990;9748;0;60;0,1346;0;0;0;0;0;0,1933;0
6136;5;35;4188;4188;0;12;0,1444;0;0;0;0;0;0,0632;0
6137;6;45;9000;10055;0;96;0,0520;0;1;1;0;0;0,0255;1
6138;5;69;11270;3942;1;36;0,0706;0;0;0;0;0;0,0256;0
6139;6;41;7164;6407;0;48;0,1050;0;1;0;0;0;0,1557;1
6140;3;23;27100;27100;0;84;0,2746;0;0;0;1;1;0,9198;0
6141;5;57;15990;15318;0;72;0,1048;0;1;0;0;0;0,0937;0
6142;20;65;26495;26989;0;84;0,1434;0;1;1;1;0;0,0990;1
6143;1;27;10950;6465;0;60;0,0700;0;0;0;0;0;0,0890;0
6144;19;55;20590;16071;0;84;0,0939;0;0;0;1;0;0,0325;0
6145;7;72;6900;6900;0;60;0,0410;0;0;1;1;0;0,0778;0
6146;0;47;8850;9443;0;60;0,0680;0;0;0;0;0;0,4868;0
6147;32;54;9200;8694;0;60;0,0542;0;1;1;0;0;0,0501;1
6148;0;25;10990;10100;0;48;0,1008;0;0;0;0;0;0,4819;0
6149;1;51;5500;5894;0;36;0,0845;0;1;0;0;0;0,1434;0
6150;0;38;16585;17988;0;96;0,1679;0;0;0;1;0;0,3776;0
6151;1;55;6340;7455;0;36;0,0681;0;1;0;1;0;0,4076;0
6152;23;47;22000;22000;0;72;0,1227;0;1;0;0;0;0,0821;1
6153;3;26;14990;16431;0;60;0,1151;0;1;0;1;0;0,1438;0
6154;1;25;10100;7700;0;60;0,0683;0;0;0;0;0;0,0713;0
6155;3;66;12200;6679;0;36;0,1579;0;1;1;0;0;0,0276;0
6156;13;40;6980;6480;0;48;0,0975;0;1;1;0;0;0,0536;1
6157;1;25;9385;7867;0;60;0,0967;0;1;0;0;0;0,0837;0
6158;10;69;14490;8541;0;48;0,1661;0;1;0;0;0;0,0107;1
6159;7;30;18000;8000;1;48;0,1840;0;1;1;0;0;0,0195;1
6160;2;68;5990;4490;0;24;0,1560;0;0;1;0;0;0,0251;0
6161;29;50;13160;5290;1;24;0,0841;0;1;0;0;0;0,0225;1
6162;10;59;14750;14750;0;72;0,1335;0;1;0;0;0;0,2522;1
6163;1;24;7900;8969;0;60;0,1025;0;0;0;1;1;0,7334;0
